Object ID,Total Distance,Displacement,Speed,Up Movements,Down Movements,Status,Line Data
2,57,17,0.9622173646883858,11,12,Motile,"[((1146, 520), (1146, 519)), ((1146, 519), (1145, 519)), ((1145, 519), (1146, 518)), ((1146, 518), (1146, 517)), ((1146, 517), (1147, 520)), ((1147, 520), (1147, 520)), ((1147, 520), (1146, 517)), ((1146, 517), (1146, 516)), ((1146, 516), (1145, 518)), ((1145, 518), (1145, 518)), ((1145, 518), (1147, 517)), ((1147, 517), (1146, 517)), ((1146, 517), (1146, 516)), ((1146, 516), (1146, 516)), ((1146, 516), (1146, 515)), ((1146, 515), (1146, 515)), ((1146, 515), (1146, 513)), ((1146, 513), (1146, 516)), ((1146, 516), (1146, 516)), ((1146, 516), (1145, 524)), ((1145, 524), (1145, 525)), ((1145, 525), (1146, 528)), ((1146, 528), (1146, 529)), ((1146, 529), (1147, 531)), ((1147, 531), (1147, 532)), ((1147, 532), (1150, 538)), ((1150, 538), (1150, 539)), ((1150, 539), (1146, 539)), ((1146, 539), (1146, 537)), ((1146, 537), (1145, 537))]"
4,83,47,1.3911426719614859,27,6,Motile,"[((1118, 854), (1118, 852)), ((1118, 852), (1118, 852)), ((1118, 852), (1117, 858)), ((1117, 858), (1118, 855)), ((1118, 855), (1119, 851)), ((1119, 851), (1119, 851)), ((1119, 851), (1119, 849)), ((1119, 849), (1119, 850)), ((1119, 850), (1121, 849)), ((1121, 849), (1121, 849)), ((1121, 849), (1120, 848)), ((1120, 848), (1119, 848)), ((1119, 848), (1121, 848)), ((1121, 848), (1121, 846)), ((1121, 846), (1120, 844)), ((1120, 844), (1119, 841)), ((1119, 841), (1120, 845)), ((1120, 845), (1120, 844)), ((1120, 844), (1121, 840)), ((1121, 840), (1119, 840)), ((1119, 840), (1119, 840)), ((1119, 840), (1118, 839)), ((1118, 839), (1118, 839)), ((1118, 839), (1118, 837)), ((1118, 837), (1119, 837)), ((1119, 837), (1120, 836)), ((1120, 836), (1120, 834)), ((1120, 834), (1120, 835)), ((1120, 835), (1120, 837)), ((1120, 837), (1120, 836)), ((1120, 836), (1120, 830)), ((1120, 830), (1120, 830)), ((1120, 830), (1122, 827)), ((1122, 827), (1122, 827)), ((1122, 827), (1122, 810)), ((1122, 810), (1122, 808)), ((1122, 808), (1124, 807))]"
8,68,3,1.1426842787390519,13,13,Motile,"[((1146, 520), (1146, 519)), ((1146, 519), (1145, 520)), ((1145, 520), (1146, 518)), ((1146, 518), (1146, 517)), ((1146, 517), (1147, 520)), ((1147, 520), (1147, 520)), ((1147, 520), (1146, 517)), ((1146, 517), (1146, 516)), ((1146, 516), (1145, 518)), ((1145, 518), (1145, 518)), ((1145, 518), (1147, 517)), ((1147, 517), (1146, 517)), ((1146, 517), (1146, 517)), ((1146, 517), (1146, 516)), ((1146, 516), (1146, 515)), ((1146, 515), (1146, 515)), ((1146, 515), (1146, 513)), ((1146, 513), (1146, 516)), ((1146, 516), (1146, 516)), ((1146, 516), (1145, 524)), ((1145, 524), (1145, 525)), ((1145, 525), (1146, 528)), ((1146, 528), (1146, 529)), ((1146, 529), (1147, 531)), ((1147, 531), (1147, 532)), ((1147, 532), (1150, 538)), ((1150, 538), (1150, 539)), ((1150, 539), (1144, 523)), ((1144, 523), (1144, 522))]"
10,133,128,2.227335616463409,2,11,Motile,"[((1136, 766), (1138, 766)), ((1138, 766), (1138, 766)), ((1138, 766), (1137, 766)), ((1137, 766), (1136, 769)), ((1136, 769), (1136, 769)), ((1136, 769), (1122, 802)), ((1122, 802), (1122, 804)), ((1122, 804), (1120, 831)), ((1120, 831), (1119, 835)), ((1119, 835), (1118, 838)), ((1118, 838), (1118, 842)), ((1118, 842), (1113, 889)), ((1113, 889), (1113, 892))]"
14,45,31,0.7623297908443607,15,5,Motile,"[((1081, 1384), (1081, 1382)), ((1081, 1382), (1081, 1383)), ((1081, 1383), (1081, 1384)), ((1081, 1384), (1082, 1380)), ((1082, 1380), (1082, 1376)), ((1082, 1376), (1083, 1377)), ((1083, 1377), (1082, 1376)), ((1082, 1376), (1082, 1376)), ((1082, 1376), (1082, 1377)), ((1082, 1377), (1082, 1376)), ((1082, 1376), (1082, 1375)), ((1082, 1375), (1082, 1377)), ((1082, 1377), (1083, 1376)), ((1083, 1376), (1083, 1376)), ((1083, 1376), (1083, 1375)), ((1083, 1375), (1083, 1374)), ((1083, 1374), (1082, 1374)), ((1082, 1374), (1083, 1374)), ((1083, 1374), (1083, 1374)), ((1083, 1374), (1084, 1367)), ((1084, 1367), (1084, 1366)), ((1084, 1366), (1084, 1365)), ((1084, 1365), (1085, 1353)), ((1085, 1353), (1085, 1353))]"
15,13,11,0.23233719096342048,7,1,Motile,"[((1078, 1326), (1078, 1325)), ((1078, 1325), (1080, 1323)), ((1080, 1323), (1081, 1323)), ((1081, 1323), (1081, 1323)), ((1081, 1323), (1081, 1323)), ((1081, 1323), (1082, 1323)), ((1082, 1323), (1083, 1322)), ((1083, 1322), (1083, 1322)), ((1083, 1322), (1082, 1322)), ((1082, 1322), (1083, 1322)), ((1083, 1322), (1084, 1316)), ((1084, 1316), (1084, 1316))]"
16,100,46,1.6795471517837643,29,5,Motile,"[((1118, 854), (1118, 852)), ((1118, 852), (1118, 852)), ((1118, 852), (1117, 858)), ((1117, 858), (1118, 855)), ((1118, 855), (1119, 852)), ((1119, 852), (1119, 852)), ((1119, 852), (1119, 850)), ((1119, 850), (1119, 850)), ((1119, 850), (1121, 849)), ((1121, 849), (1121, 849)), ((1121, 849), (1120, 848)), ((1120, 848), (1119, 848)), ((1119, 848), (1121, 847)), ((1121, 847), (1120, 846)), ((1120, 846), (1120, 844)), ((1120, 844), (1119, 841)), ((1119, 841), (1120, 845)), ((1120, 845), (1119, 844)), ((1119, 844), (1120, 836)), ((1120, 836), (1118, 828)), ((1118, 828), (1118, 826)), ((1118, 826), (1119, 824)), ((1119, 824), (1120, 832)), ((1120, 832), (1118, 830)), ((1118, 830), (1118, 829)), ((1118, 829), (1121, 825)), ((1121, 825), (1121, 821)), ((1121, 821), (1121, 819)), ((1121, 819), (1123, 821)), ((1123, 821), (1122, 823)), ((1122, 823), (1122, 822)), ((1122, 822), (1125, 817)), ((1125, 817), (1125, 817)), ((1125, 817), (1124, 812)), ((1124, 812), (1124, 812)), ((1124, 812), (1123, 812)), ((1123, 812), (1123, 810)), ((1123, 810), (1123, 809)), ((1123, 809), (1124, 808))]"
17,48,23,0.8128822633167656,20,5,Motile,"[((1082, 1225), (1082, 1224)), ((1082, 1224), (1083, 1224)), ((1083, 1224), (1083, 1224)), ((1083, 1224), (1085, 1223)), ((1085, 1223), (1085, 1221)), ((1085, 1221), (1086, 1221)), ((1086, 1221), (1086, 1221)), ((1086, 1221), (1087, 1221)), ((1087, 1221), (1085, 1221)), ((1085, 1221), (1085, 1221)), ((1085, 1221), (1086, 1217)), ((1086, 1217), (1087, 1217)), ((1087, 1217), (1086, 1215)), ((1086, 1215), (1086, 1214)), ((1086, 1214), (1086, 1214)), ((1086, 1214), (1086, 1213)), ((1086, 1213), (1088, 1213)), ((1088, 1213), (1088, 1212)), ((1088, 1212), (1087, 1212)), ((1087, 1212), (1087, 1212)), ((1087, 1212), (1088, 1218)), ((1088, 1218), (1088, 1218)), ((1088, 1218), (1089, 1210)), ((1089, 1210), (1089, 1210)), ((1089, 1210), (1088, 1208)), ((1088, 1208), (1089, 1208)), ((1089, 1208), (1090, 1207)), ((1090, 1207), (1089, 1206)), ((1089, 1206), (1090, 1205)), ((1090, 1205), (1090, 1203)), ((1090, 1203), (1090, 1203))]"
24,45,29,0.7665425255876563,14,5,Motile,"[((1081, 1382), (1081, 1382)), ((1081, 1382), (1082, 1383)), ((1082, 1383), (1082, 1384)), ((1082, 1384), (1082, 1380)), ((1082, 1380), (1082, 1376)), ((1082, 1376), (1082, 1377)), ((1082, 1377), (1081, 1376)), ((1081, 1376), (1082, 1376)), ((1082, 1376), (1082, 1377)), ((1082, 1377), (1082, 1376)), ((1082, 1376), (1082, 1375)), ((1082, 1375), (1082, 1377)), ((1082, 1377), (1083, 1376)), ((1083, 1376), (1083, 1376)), ((1083, 1376), (1083, 1375)), ((1083, 1375), (1083, 1374)), ((1083, 1374), (1082, 1374)), ((1082, 1374), (1084, 1374)), ((1084, 1374), (1084, 1374)), ((1084, 1374), (1084, 1367)), ((1084, 1367), (1084, 1366)), ((1084, 1366), (1084, 1365)), ((1084, 1365), (1085, 1353)), ((1085, 1353), (1085, 1353))]"
25,15,10,0.25241799885552335,6,2,Motile,"[((1079, 1325), (1078, 1325)), ((1078, 1325), (1080, 1322)), ((1080, 1322), (1081, 1322)), ((1081, 1322), (1082, 1323)), ((1082, 1323), (1081, 1323)), ((1081, 1323), (1082, 1323)), ((1082, 1323), (1082, 1322)), ((1082, 1322), (1083, 1322)), ((1083, 1322), (1082, 1322)), ((1082, 1322), (1083, 1322)), ((1083, 1322), (1084, 1316)), ((1084, 1316), (1084, 1316))]"
